Time (s),DRAM Power (W),IPC
0.0001,0.00,1.79
0.3043,26.58,2.08
0.6631,30.71,1.92
1.0025,28.92,2.19
1.3640,30.82,1.88
1.7227,30.56,2.18
2.0699,29.53,0.77
2.4256,31.49,2.49
2.7651,28.66,2.69
3.1132,29.45,2.72
3.4550,28.74,2.34
3.8144,30.37,2.67
4.1755,30.55,2.33
4.5226,29.21,2.66
4.8772,29.91,2.69
5.2023,27.40,2.54
5.5503,29.40,1.67
5.9424,33.19,2.30
6.2900,29.57,2.63
6.6460,30.15,2.70
7.0369,32.96,2.28
7.3634,27.59,2.65
7.7182,30.03,2.32
8.0815,30.80,2.60
8.4306,29.46,2.65
8.7772,29.31,2.62
9.1265,29.65,2.67
9.4687,29.09,2.67
9.8075,28.84,2.49
10.1673,30.56,2.69
10.5270,30.53,2.77
10.8940,31.03,2.30
11.2626,31.23,2.72
11.6061,28.95,2.75
11.8244,18.47,2.37
12.0421,18.43,2.61
12.3785,28.48,2.46
12.7381,30.34,2.67
13.0904,29.60,2.54
13.4538,30.68,0.57
