Time (s),DRAM Power (W),IPC
0.0001,0.00,1.82
0.4287,36.58,1.59
0.7896,30.77,1.27
1.1531,30.84,1.56
1.5097,30.26,1.48
1.8698,30.54,1.77
2.2560,33.07,2.02
2.6282,31.64,1.21
3.0130,32.98,3.28
3.3681,30.57,0.76
3.7016,28.93,1.21
4.0658,31.82,1.22
4.4176,39.71,1.20
5.1386,105.20,1.26
5.4876,29.58,1.38
5.8119,27.89,1.74
6.3688,64.46,1.70
6.7245,32.33,1.42
7.0743,31.04,2.37
7.5258,40.99,2.23
7.9818,42.55,2.30
8.4375,42.52,2.34
8.8787,41.09,2.45
9.3535,44.31,2.42
9.8215,43.73,2.06
10.3065,45.33,2.40
10.7744,43.90,2.39
11.2361,43.12,2.46
11.6974,43.31,2.27
12.1412,41.44,2.47
12.5773,40.75,2.29
13.0253,41.81,2.25
13.3901,31.78,2.55
13.7450,30.41,1.19
14.1262,33.52,2.01
14.7161,72.33,2.47
15.1904,47.91,2.19
15.5381,29.45,2.12
15.9140,32.68,2.70
16.3503,39.25,2.46
16.8374,45.58,2.33
17.2612,39.39,2.59
17.7295,43.77,2.42
18.2062,44.43,2.34
18.7590,51.61,2.43
19.1811,39.47,2.31
19.6570,44.31,2.26
20.1374,44.84,2.52
20.5812,41.25,2.56
21.0656,45.08,2.50
21.5172,41.90,2.23
21.9811,43.04,2.11
22.3323,30.17,2.45
22.6763,29.34,1.24
23.0621,34.91,1.17
23.6451,71.25,2.40
24.0907,42.69,2.07
24.4362,29.17,2.20
24.8142,32.92,2.48
25.2692,41.27,2.23
25.7411,44.36,2.51
26.2214,44.90,2.31
26.7094,45.58,2.29
27.1979,45.99,2.35
27.6988,46.97,2.45
28.2212,49.26,2.55
28.6847,43.31,2.46
29.1569,44.40,2.39
29.6709,48.31,2.55
30.1614,46.19,2.39
30.6471,45.24,2.53
31.0005,30.69,1.20
31.5161,61.21,2.15
32.1187,63.15,2.27
32.4841,31.03,2.17
32.8284,28.99,0.67
33.2145,34.87,2.30
33.6972,45.54,2.49
34.1697,44.45,2.55
34.6393,44.25,2.50
35.0419,37.92,2.42
35.5254,45.52,2.41
35.9746,42.42,2.43
36.4224,42.43,2.43
36.8730,42.73,2.37
37.3542,45.55,2.29
37.8550,47.31,1.91
38.3210,43.47,1.18
38.6940,35.00,2.16
39.3737,82.32,2.24
39.7458,32.84,2.10
40.0897,29.20,0.35
40.4438,31.54,2.39
40.8942,42.61,2.37
41.4219,50.09,2.49
41.9132,46.52,2.46
42.3982,45.96,2.41
42.8666,44.27,2.40
43.3299,44.01,2.41
43.8135,45.30,2.07
44.1848,31.60,1.95
44.5487,31.10,2.05
44.9102,30.87,2.10
45.2593,29.76,1.20
45.6374,33.32,1.19
46.2339,69.60,2.31
46.8298,61.42,2.11
47.1697,29.04,2.24
47.5307,31.98,0.67
47.9167,33.98,1.47
48.2388,27.41,2.10
48.5715,28.31,1.22
48.8947,27.35,1.43
49.2142,27.07,1.37
49.5353,27.45,0.53
49.8985,31.84,1.42
50.2686,32.00,1.21
